CEP,longitude,latitude,uf
29160100,0.0,0.0,
29145020,0.0,0.0,
29140971,0.0,0.0,
29200020,-40.4945681,-20.6658306,ES
29010100,-40.3366151,-20.320151,ES
29690000,-40.8374011,-19.704065399999998,ES
29640000,-40.512714200000005,-20.1054387,ES
29145010,-40.394312,-20.3551984,ES
29045010,0.0,0.0,
29140100,-40.3646409,-20.3353899,ES
29390000,-41.740739399999995,-20.359772600000003,ES
29398000,-41.621140000000004,-20.317192000000002,ES
29052100,-40.304792799999994,-20.319152499999998,ES
29206300,-40.526544,-20.7232712,ES
29730000,-40.999059700000004,-19.6596295,ES
29290000,-40.9384914,-20.8250212,ES
29967000,0.0,0.0,
29780000,0.0,0.0,
29560000,-41.7208243,-20.7714101,ES
29305720,-41.0952998,-20.8501643,ES
29307020,-41.1050564,-20.8445956,ES
29302150,-41.1321144,-20.851035600000003,ES
29305015,-41.1082034,-20.856154500000002,ES
29300150,-41.1135528,-20.850342899999998,ES
29300970,0.0,0.0,
29280000,-40.8576334,-20.7702311,ES
29580000,0.0,0.0,
29300070,-41.1129234,-20.851438100000003,ES
29745000,-40.5737316,-19.0940049,ES
29300022,-41.1144256,-20.850015,ES
29894000,0.0,0.0,
29980000,-40.186212899999994,-18.3958665,ES
29306090,-41.0984473,-20.854423,ES
29500000,0.0,0.0,
29490000,-41.1803774,-20.9496372,ES
29845000,-40.3292795,-18.4958087,ES
29395000,0.0,0.0,
29908625,-40.046487299999995,-19.3607919,ES
29901540,-40.0553441,-19.3949142,ES
29900970,0.0,0.0,
29400000,0.0,0.0,
29480000,-41.3410594,-20.9414569,ES
29830000,-40.512714200000005,-18.779253399999998,ES
29932010,0.0,0.0,
29843000,-40.6143744,-18.6168033,ES
29750000,0.0,0.0,
29970000,-40.0222864,-18.203146399999998,ES
29285000,-40.7665315,-20.8451736,ES
29645000,-40.8374011,-20.093453600000004,ES
29260000,-40.8374011,-20.3273264,ES
29151370,-40.36347809999999,-20.328716399999998,ES
29885000,-40.5330604,-18.2495805,ES
29156970,-40.402142700000006,-20.286510800000002,ES
29176970,0.0,0.0,
29100970,0.0,0.0,
29900100,-40.0612275,-19.4016108,ES
29890000,0.0,0.0,
29210080,-40.509057399999996,-20.6627331,ES
29309240,0.0,0.0,
29314790,-41.1023027,-20.876045,ES
29304010,-41.122991600000006,-20.861897600000002,ES
29302856,-41.122991600000006,-20.849123199999998,ES
29307200,-41.110248799999994,-20.8462829,ES
29313750,-41.1594737,-20.8479495,ES
29300090,-41.1116648,-20.8511951,ES
29144300,-40.3973333,-20.3544921,ES
29550000,0.0,0.0,
29345000,-40.898076700000004,-21.1099128,ES
29330000,-40.999059700000004,-20.9829904,ES
29165100,-40.2565501,-20.196525199999996,ES
