Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83334,01/01/2008,1200,0.0,34.6,17.0,0.0,6.4,25.84,44.5,1.0,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2009,1200,0.0,32.8,20.4,0.0,5.6,26.4,61.5,0.666667,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2010,1200,4.3,27.6,20.0,4.5,2.1,22.76,84.5,2.0,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2011,1200,8.2,25.8,18.6,2.2,2.0,21.24,87.75,2.333333,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2012,1200,3.8,29.0,20.2,4.8,2.3,23.0,91.75,2.666667,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2013,1200,0.0,33.8,18.8,11.4,6.9,26.32,44.25,0.666667,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2014,1200,0.0,33.6,13.8,2.3,3.9,25.4,54.75,0.666667,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2015,1200,0.0,33.4,17.4,10.4,3.6,26.08,57.75,1.333333,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2016,1200,0.0,34.6,20.8,10.6,4.2,27.88,49.75,0.666667,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2017,1200,0.0,0.0,16.8,11.2,5.1,0.0,53.75,1.333333,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/01/2018,1200,2.0,0.0,19.6,5.8,2.3,0.0,76.5,1.0,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/02/2008,1200,0.6,29.0,20.0,0.0,2.0,23.24,82.25,1.0,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
83334,01/02/2009,1200,0.0,33.6,20.0,8.9,4.1,25.16,72.0,0.333333,0.0,FORMOSO,Minas_Gerais,MG,Sudeste,-14.93,-46.25,840.0
