Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83338,01/01/2008,1200,0.0,32.3,21.1,9.3,9.8,25.78,53.75,2.666667,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2009,1200,0.0,33.1,21.6,11.2,4.5,26.86,65.75,1.333333,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2010,1200,3.1,31.0,21.3,6.3,1.8,25.1,76.0,1.333333,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2011,1200,0.0,28.8,19.5,0.0,0.0,23.32,90.0,0.5,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2013,1200,0.0,34.0,22.6,11.9,12.3,27.8,59.5,4.3333330000000005,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2014,1200,0.0,33.4,19.3,11.5,4.3,0.0,0.0,1.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2015,1200,0.0,33.9,19.7,12.2,8.0,0.0,0.0,3.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2016,1200,0.0,37.9,23.6,11.8,10.3,0.0,0.0,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2017,0,0.0,34.9,0.0,11.0,6.4,0.0,0.0,0.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/01/2018,1200,0.0,0.0,28.6,0.0,0.0,0.0,0.0,3.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2008,1200,27.3,28.8,21.5,2.4,2.3,23.48,89.25,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2009,1200,0.0,34.4,17.7,11.5,5.7,26.54,62.0,0.666667,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2010,1200,0.0,35.2,22.6,11.8,2.7,28.78,46.75,3.666667,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2011,1200,0.0,35.3,21.9,10.7,8.4,28.42,55.0,2.5,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2012,1200,0.0,31.8,22.3,5.9,6.5,26.6,62.0,5.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2013,1200,0.0,33.6,21.8,10.3,8.2,27.74,52.75,3.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2014,1200,0.0,30.7,20.9,11.4,11.1,0.0,0.0,4.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2015,1200,0.0,35.7,0.0,11.0,12.5,0.0,0.0,0.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2016,1200,0.0,33.0,22.9,11.2,11.6,0.0,0.0,3.5,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2017,1200,0.0,35.6,23.5,11.0,9.2,0.0,0.0,4.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/02/2018,1200,4.4,27.1,21.6,0.3,1.3,0.0,0.0,1.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2008,1200,3.7,25.5,21.9,0.0,1.6,23.34,91.0,0.666667,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2010,1200,55.2,30.2,22.0,3.9,5.1,24.9,82.75,1.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2011,1200,8.3,32.3,22.3,6.4,3.7,24.94,86.0,1.5,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2012,1200,0.0,35.3,22.9,0.0,7.6,28.14,45.75,2.666667,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2013,1200,0.0,34.8,23.8,10.3,11.2,28.38,42.75,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2014,1200,0.6,32.4,20.0,9.3,5.9,0.0,0.0,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2015,0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2016,1200,0.0,33.6,23.6,10.9,9.2,0.0,0.0,5.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2017,1200,22.1,28.9,21.0,1.4,5.0,0.0,0.0,1.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2018,1200,0.0,33.2,19.5,10.8,6.2,0.0,0.0,3.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/03/2019,1200,0.0,0.0,21.0,0.0,0.0,0.0,0.0,4.11552,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2008,1200,0.0,28.4,20.0,10.7,6.3,23.36,70.5,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2009,1200,0.8,29.3,22.7,7.4,2.2,25.18,85.0,1.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2010,1200,5.4,30.8,21.9,5.8,3.9,26.32,67.5,2.333333,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2011,1200,0.0,34.0,19.5,10.3,4.8,25.68,75.0,1.5,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2012,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2013,1200,2.4,32.5,21.9,10.4,5.5,26.08,59.25,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2014,1200,0.0,34.1,23.5,9.5,8.7,0.0,0.0,4.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2015,1200,0.0,36.8,21.5,10.8,10.2,0.0,0.0,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/04/2017,1200,8.9,28.7,22.0,4.2,2.4,0.0,0.0,3.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2008,1200,0.0,30.8,18.1,10.9,5.7,23.98,64.25,7.3333330000000005,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2009,1200,4.7,26.8,21.0,0.9,4.8,22.54,81.0,2.666667,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2010,1200,0.0,33.0,19.2,9.7,7.4,0.0,54.0,1.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2012,1200,0.0,35.5,16.6,10.8,11.6,26.06,38.0,1.333333,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2013,1200,0.0,31.8,18.2,10.7,7.6,25.48,50.25,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2014,1200,0.0,30.5,16.0,10.3,8.3,0.0,0.0,2.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
83338,01/05/2015,1200,5.0,26.3,20.9,1.2,4.4,0.0,0.0,3.0,0.0,ESPINOSA,Minas_Gerais,MG,Sudeste,-14.91,-42.8,569.64
