Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83386,01/01/2008,1200,0.0,33.5,17.7,12.0,5.7,25.98,54.75,0.0,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2009,1200,0.0,34.2,20.3,9.8,3.6,26.44,70.75,0.0,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2010,1200,18.0,30.2,21.7,5.6,0.9,25.12,87.75,2.833333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2011,1200,5.7,27.1,20.4,0.5,0.9,22.58,88.75,2.566667,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2012,1200,1.3,27.3,21.9,0.9,1.3,24.14,91.75,0.933333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2013,1200,0.0,34.4,19.1,12.0,6.3,25.98,61.5,2.066667,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2014,1200,0.0,33.9,20.1,11.7,3.7,26.58,67.25,1.3,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2015,1200,0.0,36.0,18.4,11.8,3.6,26.44,54.25,1.8,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2016,1200,0.0,39.2,23.6,12.0,8.2,30.44,43.75,1.133333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2017,1200,0.0,35.9,18.0,12.0,4.8,26.58,55.75,1.633333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2018,1200,21.0,33.4,22.3,6.0,2.5,26.58,82.75,0.766667,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/01/2019,1200,8.3,32.8,20.8,9.9,2.3,26.24,71.0,1.166667,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2008,1200,11.5,29.0,22.0,2.9,1.5,25.3,84.0,0.0,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2009,1200,0.0,33.6,21.8,10.2,4.5,26.84,69.75,0.0,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2010,1200,0.0,34.3,20.3,11.3,6.0,26.54,58.25,2.4666669999999997,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2011,1200,0.0,34.3,16.9,11.6,5.1,25.14,65.25,1.6,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2012,1200,1.4,25.8,20.1,0.3,1.1,22.48,88.75,0.866667,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2013,1200,0.0,32.6,21.6,9.0,3.3,26.5,81.0,1.633333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2014,1200,0.0,32.1,18.0,11.7,4.5,24.7,57.75,2.1333330000000004,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2015,1200,0.0,36.5,19.2,11.9,9.7,27.26,47.75,1.9,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2016,1200,0.0,32.9,19.3,11.7,4.3,25.68,73.25,1.633333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2017,1200,0.0,36.0,19.8,8.0,7.3,27.82,50.25,2.3666669999999996,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2018,1200,32.7,30.1,20.5,4.4,0.4,23.7,85.0,2.3,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/02/2019,1200,0.0,37.8,18.0,11.0,8.5,27.98,48.5,2.233333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2008,1200,6.8,29.2,22.3,1.1,1.4,24.2,91.75,0.0,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2009,1200,0.0,33.2,19.3,11.4,4.2,25.68,66.25,0.0,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2010,1200,3.8,30.6,21.0,2.5,3.1,24.2,92.75,1.9333330000000002,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2011,1200,0.0,31.8,20.0,6.7,2.9,25.9,74.25,1.3,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2012,1200,0.0,35.3,17.3,11.5,5.8,25.56,54.25,2.733333,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2013,1200,10.3,33.6,21.7,5.7,3.1,26.34,77.25,0.766667,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2014,1200,0.2,31.0,19.6,5.4,3.5,24.42,73.75,1.7,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2015,1200,23.2,29.5,21.1,3.0,3.5,24.48,87.5,1.1,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
83386,01/03/2016,1200,0.0,35.4,19.8,11.5,5.0,26.8,60.75,1.7666669999999998,0.0,JANUARIA,Minas_Gerais,MG,Sudeste,-15.45,-44.0,473.71
