Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83395,01/01/2008,1200,0.0,32.9,17.0,10.9,4.2,25.9,49.5,0.666667,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2009,1200,0.0,34.3,21.4,0.0,3.9,26.94,65.75,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2010,1200,0.7,30.7,20.8,3.3,1.2,24.94,81.0,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2011,1200,6.3,29.5,20.2,1.5,1.1,22.9,91.0,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2012,1200,0.0,28.7,20.6,0.3,1.9,23.78,89.75,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2013,1200,0.0,35.1,19.6,10.3,7.1,26.14,55.25,1.333333,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2014,1200,0.0,35.1,19.8,10.7,4.2,27.18,55.75,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2015,1200,0.0,35.5,18.8,10.7,4.1,27.26,46.5,1.333333,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/01/2016,1200,0.0,39.6,20.8,11.0,7.9,0.0,0.0,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2008,1200,19.4,28.3,21.4,1.2,1.4,24.18,88.25,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2009,1200,0.0,34.7,19.4,10.6,5.0,27.42,52.75,0.666667,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2010,1200,0.0,33.9,23.6,7.7,7.9,28.3,48.75,0.666667,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2011,1200,0.0,35.1,18.6,11.3,8.0,27.22,45.5,2.333333,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2012,1200,4.1,31.7,20.0,4.6,2.3,24.66,73.0,0.666667,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2013,1200,0.0,0.0,0.0,9.1,4.8,0.0,0.0,1.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2014,1200,0.0,33.1,19.8,10.2,6.5,25.9,47.0,2.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2015,1200,0.0,36.4,22.6,10.7,10.2,29.28,37.75,2.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/02/2016,1200,0.0,33.1,21.6,10.9,0.0,0.0,0.0,1.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/03/2008,1200,53.9,25.1,20.4,0.0,1.9,22.1,95.5,0.0,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
83395,01/03/2009,1200,0.0,34.1,21.2,10.7,4.9,27.34,51.25,1.666667,0.0,JANAUBA,Minas_Gerais,MG,Sudeste,-15.8,-43.29,516.0
