Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83428,01/01/2008,1200,0.0,35.3,19.7,11.3,6.1,28.16,45.75,1.0,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2009,1200,0.0,33.7,23.3,8.0,4.6,27.88,65.75,1.666667,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2010,1200,2.3,31.1,21.7,0.0,1.5,25.0,80.75,2.333333,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2011,1200,34.0,27.7,19.9,0.0,1.7,23.28,83.25,2.0,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2012,1200,25.2,31.1,21.1,0.0,1.4,24.92,77.75,3.666667,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2013,1200,0.0,35.1,21.3,0.0,6.7,28.96,42.5,2.666667,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2014,1200,0.8,34.3,21.9,0.0,1.6,28.0,64.0,2.0,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2015,1200,0.0,36.3,22.5,0.0,4.4,29.2,52.5,1.0,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2016,1200,0.0,36.1,20.1,0.0,4.0,28.52,64.75,1.666667,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2017,1200,0.0,35.1,18.9,0.0,6.1,27.16,49.0,1.333333,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2018,1200,0.2,30.6,22.8,0.0,2.2,25.04,79.25,1.333333,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/01/2019,1200,23.4,30.6,17.6,0.0,2.2,23.96,80.25,1.333333,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/02/2008,1200,0.0,32.5,21.3,5.4,2.9,26.28,73.75,2.0,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
83428,01/02/2009,1200,0.0,33.3,22.1,6.9,3.9,27.2,69.75,0.666667,0.0,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.0
