Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83441,01/01/2008,1200,0.0,30.8,18.2,8.8,4.0,23.84,64.75,1.566667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2009,1200,0.0,33.3,20.5,9.8,3.2,26.28,72.75,0.733333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2010,1200,0.5,32.5,21.4,7.7,2.0,24.86,78.0,1.0,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2011,1200,17.0,29.7,20.2,1.8,1.0,24.3,83.25,0.766667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2012,1200,3.0,28.5,21.0,1.8,1.7,24.14,90.5,0.833333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2013,1200,0.0,34.3,21.6,11.3,7.6,27.98,54.25,1.7666669999999998,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2014,1200,0.0,34.1,20.0,11.8,3.4,25.78,78.75,1.566667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2015,1200,0.0,34.1,18.0,12.0,4.0,24.66,78.75,1.8666669999999999,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2016,1200,0.0,38.7,21.2,12.1,7.3,29.62,45.5,1.6,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2017,1200,0.0,34.3,18.6,11.7,5.1,26.94,52.5,0.766667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2018,1200,0.4,34.5,21.0,7.7,5.3,25.78,83.5,0.766667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/01/2019,1200,4.1,31.5,19.8,8.8,1.5,24.46,87.75,0.833333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2008,1200,13.0,27.5,21.5,1.5,1.3,23.88,93.25,1.0,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2009,1200,0.0,32.7,17.6,9.4,3.5,24.26,77.5,1.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2010,1200,0.0,35.1,21.6,7.9,7.1,28.02,57.25,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2011,1200,0.0,32.8,17.4,9.3,4.0,24.44,73.75,0.9,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2012,1200,0.0,30.0,21.8,5.3,3.0,24.52,76.5,1.266667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2013,1200,0.0,33.0,20.0,9.4,4.6,26.24,72.25,1.066667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2014,1200,0.0,31.4,17.4,7.0,5.3,24.32,71.5,2.1333330000000004,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2015,1200,0.0,33.9,19.2,11.0,9.6,26.98,65.0,2.6,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2016,1200,0.0,33.1,21.6,12.0,4.4,26.26,67.5,1.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2017,1200,0.0,34.7,23.0,7.4,7.2,27.94,49.75,1.233333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2018,1200,1.7,25.1,22.0,0.0,1.3,23.5,93.5,1.3,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/02/2019,1200,0.0,35.5,18.2,11.7,8.0,26.86,71.25,1.833333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2008,1200,0.3,30.0,21.5,0.2,1.4,24.26,86.25,1.666667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2009,1200,0.0,33.8,17.8,9.4,5.8,25.84,60.25,1.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2010,1200,0.0,34.5,22.6,3.1,3.0,25.66,79.75,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2011,1200,0.0,34.1,21.2,8.5,5.0,26.26,74.25,1.8,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2012,1200,0.0,34.9,18.6,11.4,7.4,27.22,42.25,2.5333330000000003,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2013,1200,0.0,34.4,24.0,8.0,5.5,28.28,57.25,1.666667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2014,1200,0.2,34.8,21.0,9.8,4.7,25.04,80.75,1.633333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2015,1200,1.3,28.9,22.0,1.0,3.6,24.46,86.75,1.333333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2016,1200,0.0,34.7,19.9,10.5,5.5,27.8,49.5,1.7666669999999998,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2017,1200,0.0,29.5,22.8,2.5,5.8,25.7,74.0,1.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2018,1200,0.0,32.4,19.0,10.1,3.0,25.08,88.25,0.666667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/03/2019,1200,3.0,31.9,21.0,4.3,3.2,24.78,86.0,1.8,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2008,1200,0.0,29.0,19.4,2.8,3.2,22.92,78.5,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2009,1200,4.8,32.5,22.2,4.6,3.3,25.58,85.5,1.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2010,1200,0.0,32.0,23.0,7.0,3.6,26.72,70.75,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2011,1200,0.0,35.3,18.8,10.3,4.0,26.3,70.75,0.6,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2012,1200,0.0,33.4,22.0,7.7,5.3,27.2,52.5,1.9333330000000002,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2013,1200,0.0,34.1,22.4,9.2,3.4,27.34,64.25,1.8,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2014,1200,3.5,31.5,22.4,6.3,2.7,25.86,82.25,1.0,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2015,1200,0.0,37.1,17.4,10.8,5.8,26.82,70.5,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2016,1200,0.0,34.2,21.4,7.9,5.6,27.5,51.25,1.266667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2017,1200,16.4,27.3,21.0,3.1,1.6,23.18,76.75,1.333333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/04/2018,1200,0.0,32.9,20.0,9.8,3.5,25.42,83.75,1.033333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2008,1200,0.0,25.3,17.0,0.0,2.3,21.5,82.5,2.2,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2009,1200,0.0,26.9,18.8,1.5,1.9,21.98,86.0,1.033333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2010,1200,0.4,30.6,18.8,6.7,2.7,22.92,82.75,1.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2011,1200,0.0,30.5,19.4,10.2,2.9,23.46,75.5,1.1,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2012,1200,0.0,35.4,14.6,10.5,6.0,25.2,49.0,2.1,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2013,1200,0.0,32.1,15.4,8.1,3.8,23.74,66.25,1.433333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2014,1200,0.0,30.3,15.6,9.5,6.5,22.66,61.0,1.033333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2015,1200,0.2,25.2,19.4,0.0,1.0,22.08,87.75,0.733333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2016,1200,0.0,35.5,19.0,10.6,4.5,28.1,49.25,1.4,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2017,1200,0.0,26.3,20.0,0.9,4.4,22.86,66.75,2.8666669999999996,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/05/2018,1200,0.0,30.5,17.4,5.0,4.0,22.54,84.75,0.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2008,1200,0.0,25.0,19.5,1.4,6.0,22.02,70.5,2.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2009,1200,0.0,29.8,17.2,3.4,1.8,22.62,84.25,1.3,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2010,1200,0.0,26.1,16.6,1.2,2.0,21.02,72.75,1.9,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2011,1200,0.0,28.5,18.2,3.1,3.8,21.58,71.5,0.733333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2012,1200,0.0,31.7,16.6,10.0,3.9,23.7,59.25,1.7,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2013,1200,0.0,27.9,21.2,0.5,4.5,23.78,76.0,1.033333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2014,1200,0.0,30.3,14.0,7.5,3.1,20.74,71.25,1.2,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2015,1200,0.0,31.3,18.4,8.9,5.8,23.94,80.25,1.033333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2016,1200,0.0,34.1,15.0,10.0,6.2,24.14,48.25,1.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2017,1200,0.0,33.7,14.8,10.0,3.6,24.1,54.75,1.066667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/06/2018,1200,0.0,29.8,15.0,7.9,3.4,22.52,79.25,0.733333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2008,1200,0.0,28.6,18.3,5.7,3.9,22.62,68.5,2.0333330000000003,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2009,1200,0.0,29.3,11.4,6.7,2.4,18.18,75.0,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2010,1200,0.0,27.5,9.4,9.9,5.2,19.26,64.75,2.2,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2011,1200,0.0,29.7,18.2,9.0,5.3,22.86,57.25,1.833333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2012,1200,0.0,28.7,18.2,7.0,4.9,22.1,61.25,3.333333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2013,1200,0.0,31.5,13.0,9.3,6.0,22.94,60.75,2.0333330000000003,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2014,1200,0.0,32.3,14.2,10.0,4.0,22.94,62.0,1.533333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2015,1200,0.0,27.2,19.0,1.3,3.4,22.2,79.0,1.1,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2016,1200,0.0,26.9,15.0,7.8,5.5,21.66,58.0,2.4666669999999997,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2017,1200,0.0,28.7,16.4,6.1,4.4,22.1,54.5,0.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/07/2018,1200,0.0,29.1,17.6,4.9,4.0,23.06,75.75,1.8666669999999999,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2008,1200,0.0,28.7,15.7,6.7,5.7,22.94,50.0,1.233333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2009,1200,0.0,29.7,13.2,8.3,4.5,22.9,58.75,2.8666669999999996,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2010,1200,0.0,29.9,9.6,10.3,4.6,18.5,63.5,1.333333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2011,1200,0.0,32.5,15.6,8.6,4.6,22.94,62.25,2.0,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2012,1200,0.0,28.9,18.0,6.2,6.8,22.98,53.5,3.233333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2013,1200,0.0,30.2,11.0,10.5,5.2,21.12,55.0,1.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2014,1200,0.0,29.3,13.2,5.1,4.4,21.14,67.75,0.766667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2015,1200,0.0,30.2,16.2,10.5,5.6,22.72,64.5,3.0333330000000003,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2016,1200,0.0,29.9,12.0,9.3,5.8,21.78,51.75,1.6,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2017,1200,0.0,27.7,15.2,8.6,6.5,22.1,48.75,0.766667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/08/2018,1200,0.0,32.9,15.2,9.2,5.1,24.42,68.5,1.433333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2008,1200,0.0,26.4,19.5,3.6,6.4,21.68,58.0,2.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2009,1200,0.0,32.6,13.9,9.5,5.1,23.66,58.5,1.8666669999999999,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2010,1200,0.0,27.7,0.0,0.0,7.7,21.3,64.25,2.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2011,1200,0.0,32.0,15.8,10.2,8.5,24.36,48.0,2.3,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2012,1200,0.0,32.9,16.2,8.8,6.8,24.42,43.5,1.633333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2013,1200,0.0,30.9,15.2,10.5,4.7,23.46,59.5,2.733333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2014,1200,0.0,36.3,18.8,8.3,6.8,27.38,48.5,2.7,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2015,1200,0.0,34.5,15.0,10.8,6.7,24.1,61.5,1.2,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2016,1200,0.0,34.0,18.2,10.1,7.8,25.96,44.0,2.1,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2017,1200,0.0,29.3,21.0,8.8,9.3,24.02,67.75,3.166667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/09/2018,1200,0.0,33.0,18.0,10.0,6.6,25.28,70.75,2.233333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2008,1200,0.0,34.3,17.6,7.2,4.0,26.3,52.25,2.666667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2009,1200,0.0,30.4,22.4,2.7,8.4,25.08,60.0,2.766667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2010,1200,5.2,36.2,21.8,5.0,4.4,28.44,62.0,1.833333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2011,1200,0.0,34.0,17.0,6.5,9.6,25.88,55.5,1.366667,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2012,1200,0.0,30.3,14.0,8.0,7.0,22.46,51.75,1.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2013,1200,0.0,34.1,20.6,7.4,6.8,26.9,57.75,1.8,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2014,1200,0.0,37.5,22.4,10.1,8.8,30.22,45.5,2.333333,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2015,1200,0.0,36.1,20.6,10.8,11.5,28.42,54.5,1.5,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
83441,01/10/2016,1200,0.0,33.3,22.6,5.5,8.0,26.94,54.0,2.4666669999999997,0.0,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32
