Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83442,01/01/2008,1200,0.0,34.3,20.5,7.9,4.2,26.52,52.75,1.0,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2009,1200,0.0,34.2,21.3,0.0,3.7,27.06,69.25,0.666667,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2010,1200,37.6,33.3,21.7,0.0,1.6,25.88,76.75,1.0,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2011,1200,9.7,30.1,20.9,0.0,0.9,24.48,82.0,0.333333,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2012,1200,3.0,29.7,21.7,0.0,1.7,24.76,93.25,0.666667,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2013,1200,0.0,36.2,21.9,0.0,7.0,28.24,52.75,1.0,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2014,1200,0.0,35.3,21.3,0.0,4.7,27.88,61.75,0.333333,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2015,1200,0.0,35.9,19.0,0.0,4.4,27.06,62.25,0.666667,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2016,1200,0.0,39.6,21.7,0.0,6.8,30.78,43.0,0.333333,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2017,1200,0.0,35.6,20.6,0.0,7.5,27.5,56.5,0.333333,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
83442,01/01/2018,1200,2.6,36.4,21.1,0.0,4.3,26.94,71.25,0.666667,0.0,ARACUAI,Minas_Gerais,MG,Sudeste,-16.83,-42.05,289.0
