Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83452,01/01/2008,1200,0.0,31.6,16.3,0.0,5.1,24.1,64.5,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2009,1200,0.0,33.4,19.2,9.0,3.0,24.84,72.5,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2010,1200,1.2,28.0,19.7,9.6,1.0,23.06,84.0,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2011,1200,16.5,24.4,0.0,0.0,0.5,0.0,92.75,1.333333,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2012,1200,17.4,29.2,19.5,1.8,0.5,22.78,90.75,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2013,1200,0.0,32.4,21.5,7.4,6.0,24.98,61.0,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2014,1200,0.0,33.2,0.0,10.3,2.8,0.0,76.5,1.666667,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2015,1200,0.0,36.2,22.0,10.1,6.0,27.68,53.5,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2016,1200,0.0,37.6,18.8,10.2,5.7,28.4,46.5,1.666667,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2017,1200,0.0,34.2,15.8,9.9,5.2,25.12,50.5,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2018,1200,0.0,31.4,20.0,5.2,2.5,24.32,86.0,1.666667,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/01/2019,1200,0.0,31.2,19.0,8.6,1.9,24.0,82.0,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
83452,01/02/2008,1200,18.8,28.6,20.6,0.0,20.3,23.4,89.25,1.0,0.0,JURAMENTO,Minas_Gerais,MG,Sudeste,-16.77,-43.66,648.0
