Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83479,01/01/2008,1200,0.0,34.0,20.6,11.0,8.4,27.26,59.5,1.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2009,1200,3.2,31.4,20.0,3.7,5.7,24.84,76.75,1.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2010,1200,22.6,28.3,20.6,0.8,1.8,22.58,88.75,2.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2011,1200,40.0,24.5,19.0,0.5,1.6,20.9,97.25,2.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2012,1200,22.4,29.3,19.2,1.9,1.6,23.42,85.0,2.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2013,1200,0.0,32.5,19.8,10.5,8.3,26.36,49.25,1.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2014,1200,0.0,32.5,20.0,8.0,3.3,25.88,73.5,0.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2015,1200,0.0,34.5,21.8,11.1,5.1,28.1,52.25,1.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2016,1200,0.0,34.5,20.6,10.2,6.7,27.44,65.75,2.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2017,1200,0.0,32.3,18.6,10.9,10.1,26.48,60.75,1.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2018,1200,10.0,31.1,18.8,3.8,3.4,22.54,89.0,2.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/01/2019,1200,0.2,29.8,19.4,5.3,2.9,23.96,82.5,3.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2008,1200,0.0,31.2,21.4,5.6,4.9,25.44,82.75,3.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2009,1200,0.0,31.1,19.8,5.5,5.6,24.96,74.25,3.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2010,1200,0.0,33.0,20.2,9.9,0.3,26.26,60.0,3.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2011,1200,0.0,32.6,20.8,6.5,6.9,26.62,69.5,1.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2012,1200,30.6,26.5,18.4,1.4,4.0,20.98,90.5,2.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2013,1200,29.4,28.6,19.4,2.1,2.0,24.0,79.5,1.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2014,1200,0.0,30.9,19.4,10.5,5.9,24.42,62.25,2.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2015,1200,2.8,32.7,21.8,10.7,9.5,27.4,56.0,3.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2016,1200,0.0,31.7,19.8,9.8,7.5,25.88,69.0,2.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2017,1200,0.0,31.3,21.2,4.3,8.0,24.94,75.5,2.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2018,1200,43.4,29.0,20.2,4.2,3.8,23.96,80.0,4.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/02/2019,1200,0.0,34.5,20.5,10.7,10.5,28.22,47.0,3.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/03/2008,1200,9.2,26.3,20.6,1.0,1.6,22.5,94.75,2.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/03/2009,1200,0.0,31.4,19.4,10.1,7.6,25.4,61.75,3.666667,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/03/2010,1200,6.4,28.7,21.2,0.3,0.9,23.54,90.25,1.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/03/2011,1200,1.2,31.4,20.6,6.3,4.1,24.16,77.25,4.0,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
83479,01/03/2012,1200,0.0,33.6,20.2,10.9,7.4,26.46,59.25,2.333333,0.0,PARACATU,Minas_Gerais,MG,Sudeste,-17.24,-46.88,712.0
