Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83481,01/01/2008,1200,0.0,33.6,22.5,11.9,8.0,27.66,51.25,0.333333,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2009,1200,0.0,31.4,21.1,0.0,8.2,25.54,69.25,0.333333,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2010,1200,18.2,26.8,19.5,0.0,2.0,22.18,90.5,1.0,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2011,1200,83.2,21.2,18.9,0.0,1.2,20.26,95.5,1.9,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2012,1200,24.2,27.6,19.9,0.0,2.4,22.62,87.75,1.2,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2013,1200,0.0,33.6,21.3,0.0,11.6,26.86,56.75,1.033333,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2014,1200,0.1,30.4,21.5,0.0,5.6,26.06,73.75,1.166667,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2015,1200,0.0,0.0,22.7,0.0,6.2,0.0,53.75,0.0,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2016,1200,0.0,0.0,22.3,0.0,8.4,0.0,59.25,0.5,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/01/2017,1200,0.0,0.0,21.5,0.0,11.5,0.0,0.0,1.0,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/02/2008,1200,1.2,31.2,20.1,0.0,1.8,24.62,74.5,0.333333,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/02/2009,1200,0.0,33.2,21.1,0.0,9.0,25.66,71.25,1.166667,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/02/2010,1200,0.0,33.0,22.5,0.0,10.3,27.18,51.0,0.666667,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
83481,01/02/2011,1200,0.0,32.0,21.7,0.0,10.4,27.06,56.5,0.5,0.0,JOAO PINHEIRO,Minas_Gerais,MG,Sudeste,-17.73,-46.17,760.36
