Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83483,01/01/2008,1200,0.0,35.1,22.6,10.0,7.2,28.82,46.75,2.066667,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2009,1200,0.0,31.4,22.7,7.5,3.6,26.92,78.25,1.0,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2010,1200,9.0,27.4,21.0,0.1,0.9,24.12,90.25,1.033333,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2011,1200,5.0,27.7,20.5,0.0,1.2,23.6,82.25,2.3,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2012,1200,20.4,29.6,21.3,2.1,1.5,23.64,92.25,2.3,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2013,1200,0.0,34.9,21.3,11.4,6.7,28.0,53.5,1.333333,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2014,1200,0.0,33.9,27.3,6.9,3.7,0.0,0.0,0.0,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2016,1200,0.0,37.2,22.7,10.8,5.6,0.0,0.0,0.8,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2017,1200,0.0,0.0,19.4,11.1,5.0,0.0,0.0,0.0,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/01/2018,0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2008,1200,4.2,31.6,22.3,6.8,1.2,26.36,84.25,0.866667,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2009,1200,0.0,33.7,22.7,10.2,3.8,27.88,71.5,0.833333,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2010,1200,0.0,34.0,20.9,12.0,4.6,27.02,60.75,2.1,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2011,1200,0.0,35.2,20.5,10.3,6.0,27.82,56.25,1.133333,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2012,1200,12.5,26.4,20.7,3.0,2.2,23.38,87.25,1.1,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2013,1200,0.2,32.7,22.5,7.5,2.4,26.6,75.0,1.1,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2014,1200,0.0,31.2,0.0,7.2,6.1,0.0,0.0,2.6,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2015,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2017,1200,0.0,0.0,22.2,4.9,6.2,0.0,82.75,2.1,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
83483,01/02/2018,1200,11.3,0.0,21.6,5.8,2.1,0.0,63.25,0.0,0.0,PIRAPORA,Minas_Gerais,MG,Sudeste,-17.35,-44.91,505.24
