Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83485,01/01/2008,1200,0.0,32.8,15.3,0.0,5.8,23.34,55.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2009,1200,0.0,32.2,19.3,0.0,4.8,24.18,72.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2010,1200,0.4,29.4,19.5,0.0,1.5,23.54,77.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2011,1200,2.8,22.4,18.9,0.0,0.6,20.62,92.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2012,1200,15.9,27.4,19.1,0.0,1.5,21.7,89.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2013,1200,0.0,31.2,18.5,0.0,3.6,23.46,57.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2014,1200,0.5,33.6,20.3,0.0,6.0,26.5,60.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2015,1200,0.0,34.2,17.3,0.0,6.5,26.02,51.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2016,1200,0.0,37.6,18.3,0.0,6.5,28.7,41.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2017,1200,0.0,32.0,16.5,0.0,6.8,24.74,55.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2018,1200,10.0,30.8,20.1,0.0,2.5,24.98,68.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/01/2019,1200,2.4,29.6,18.1,0.0,1.4,22.9,74.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2008,1200,8.3,29.0,19.3,0.0,0.8,23.42,83.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2009,1200,0.0,33.4,19.5,0.0,5.6,24.82,69.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2010,1200,0.0,32.4,18.1,0.0,4.0,24.9,60.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2011,1200,0.0,31.0,14.7,0.0,5.0,23.26,59.75,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2012,1200,1.6,28.2,17.7,0.0,3.0,22.02,72.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2013,1200,0.0,29.4,19.9,0.0,3.0,24.1,75.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2014,1200,0.0,30.6,15.5,0.0,6.0,23.02,52.5,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2015,1200,0.0,33.2,18.3,0.0,8.4,25.3,48.75,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2016,1200,0.0,31.6,19.3,0.0,5.1,25.02,64.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2017,1200,0.0,30.0,19.5,0.0,3.0,23.26,69.5,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2018,1200,10.5,27.0,19.9,0.0,1.0,22.82,88.5,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/02/2019,1200,0.0,34.4,17.7,0.0,6.5,25.58,48.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2008,1200,4.1,23.4,20.1,0.0,2.5,21.34,93.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2009,1200,0.0,31.2,16.5,0.0,6.0,23.66,60.25,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2010,1200,0.9,29.2,20.9,0.0,3.8,23.62,84.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2011,1200,0.2,31.4,20.5,0.0,3.5,23.46,78.75,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2012,1200,0.0,31.8,14.1,0.0,7.2,22.82,57.5,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2013,1200,0.0,28.6,20.9,0.0,3.2,23.62,77.5,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2014,1200,0.0,31.8,18.5,0.0,5.3,23.78,64.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2015,1200,0.0,26.6,19.9,0.0,4.7,22.46,84.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2016,1200,0.0,32.8,20.5,0.0,5.3,25.26,61.0,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
83485,01/03/2017,1200,16.0,25.4,18.5,0.0,5.0,21.58,85.5,0.0,0.0,CARBONITA,Minas_Gerais,MG,Sudeste,-17.53,-43.0,736.38
