Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83514,01/01/2008,1200,0.0,34.3,21.4,9.1,6.5,26.34,66.0,1.2,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2009,1200,0.0,30.6,21.4,7.1,4.1,25.26,78.25,0.833333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2010,1200,90.0,29.7,19.8,6.1,2.0,23.34,90.0,1.166667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2011,1200,0.0,31.0,21.0,7.2,3.8,24.46,83.25,1.0,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2012,1200,38.2,25.4,20.5,0.0,2.9,22.42,96.25,1.533333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2013,1200,0.0,33.4,21.8,8.0,5.4,26.52,72.25,0.833333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2014,1200,6.8,31.0,21.2,7.1,12.4,24.8,84.25,1.166667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2015,1200,0.0,0.0,21.6,12.3,5.8,0.0,77.25,1.2,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2016,1200,14.4,31.7,21.0,4.3,6.4,24.78,86.0,0.666667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2017,1200,0.0,34.6,22.0,11.8,9.5,27.4,60.5,0.833333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/01/2018,1200,30.0,31.4,19.6,4.7,3.3,23.98,86.5,0.666667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2008,1200,17.0,29.9,20.6,3.8,2.2,24.14,86.75,0.833333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2009,1200,0.0,32.2,20.0,10.2,4.0,24.64,77.5,1.533333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2010,1200,0.0,32.0,21.6,12.3,2.5,25.96,80.75,1.033333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2011,1200,52.0,32.5,18.6,10.7,1.9,24.8,73.0,0.666667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2012,1200,0.0,31.5,20.2,11.5,6.7,24.52,72.25,1.366667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2013,1200,12.6,29.8,21.3,3.4,3.0,24.12,91.0,0.833333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2014,1200,0.0,31.3,19.5,12.5,10.0,24.72,58.0,2.233333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2015,1200,0.0,33.2,21.6,7.9,8.5,25.8,72.25,1.2,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2016,1200,0.0,32.5,20.2,12.0,12.4,24.94,69.75,0.833333,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2017,1200,0.0,32.0,20.1,5.1,3.5,25.14,75.0,0.5,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/02/2018,1200,24.0,31.3,21.7,7.3,3.7,25.18,87.5,0.666667,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/03/2008,1200,6.6,29.1,21.2,0.9,2.7,23.58,88.25,1.7,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
83514,01/03/2009,1200,0.0,32.0,21.7,11.5,4.2,25.62,62.0,1.2,0.0,CAPINOPOLIS,Minas_Gerais,MG,Sudeste,-18.71,-49.55,620.6
