Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83531,01/01/2008,1200,0.0,33.5,17.5,10.5,5.9,25.44,52.75,0.833333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2009,1200,0.3,30.1,19.1,4.9,2.5,22.88,79.75,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2010,1200,12.4,25.3,19.5,1.2,1.5,21.92,84.5,1.366667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2011,1200,194.8,20.9,17.7,0.0,0.8,19.16,95.25,1.566667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2012,1200,9.5,26.1,19.1,0.6,14.6,21.28,91.5,2.566667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2013,1200,0.0,32.5,18.9,8.5,6.7,24.6,59.5,1.8666669999999999,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2014,1200,2.7,30.9,17.9,6.2,2.8,23.2,86.5,1.8666669999999999,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2015,1200,0.0,33.1,18.1,10.9,4.3,26.48,51.0,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2016,1200,0.0,32.7,17.9,10.2,4.3,24.4,69.25,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2017,0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/01/2018,1200,0.0,29.9,19.7,0.0,0.0,23.32,69.5,2.066667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2008,1200,10.4,29.9,18.1,5.0,1.2,22.96,78.0,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2009,1200,0.0,28.3,17.5,4.9,3.1,22.2,88.25,1.7,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2010,1200,0.0,30.7,18.1,11.5,4.9,24.36,57.25,1.533333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2011,1200,0.0,31.5,17.3,4.7,3.8,23.84,69.5,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2012,1200,35.3,24.3,17.3,2.4,2.5,19.8,89.5,2.566667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2013,1200,12.8,30.3,18.9,3.0,1.4,22.56,81.75,0.833333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2014,1200,0.0,29.5,15.9,8.7,7.4,22.48,56.25,2.233333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2015,1200,9.7,32.5,19.1,10.6,6.1,24.04,58.25,1.7,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2016,1200,0.0,32.1,18.5,11.6,6.1,24.48,59.75,1.533333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2017,1200,1.2,28.1,18.5,1.9,3.9,22.08,84.5,1.333333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/02/2018,1200,7.3,28.5,19.5,3.3,2.1,22.52,90.75,1.666667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2008,1200,18.6,26.9,19.3,0.6,1.4,21.4,95.0,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2009,1200,0.0,32.1,16.5,10.5,4.6,24.08,56.75,1.033333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2010,1200,20.0,24.7,19.3,0.2,0.5,21.56,94.25,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2011,1200,6.4,28.9,18.3,2.0,3.4,22.6,83.5,0.833333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2012,1200,0.0,32.3,17.5,10.5,5.4,24.36,55.25,1.333333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2013,1200,15.3,26.3,17.9,2.5,2.2,21.36,87.75,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2014,1200,0.0,27.1,18.5,1.8,4.5,21.24,80.25,2.066667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2015,1200,4.0,28.1,18.1,3.4,2.4,21.92,90.0,1.533333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2016,1200,0.0,30.3,18.9,4.2,2.6,23.48,75.5,2.066667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2017,1200,1.6,26.5,18.7,1.5,2.0,21.44,85.25,2.6,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/03/2018,1200,29.8,32.1,18.1,7.4,0.5,23.56,78.25,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2008,1200,0.0,28.3,15.3,8.5,3.3,21.44,69.75,2.233333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2009,1200,4.5,29.1,18.9,5.2,2.1,22.56,81.5,0.666667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2010,1200,1.7,28.1,18.9,3.0,1.8,22.4,85.0,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2011,1200,0.0,31.3,20.1,5.2,2.5,23.76,78.5,0.666667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2012,1200,20.2,28.7,15.5,5.6,2.3,21.16,83.5,1.9,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2013,1200,0.0,29.1,17.9,6.3,1.6,22.6,81.0,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2014,1200,12.5,28.7,18.7,3.2,2.3,21.96,90.75,1.8666669999999999,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2015,1200,0.0,31.7,17.9,8.4,2.4,23.4,76.5,0.833333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2016,1200,0.0,31.3,17.3,9.2,3.8,23.28,74.25,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/04/2017,1200,0.0,27.9,17.1,9.2,4.4,21.64,70.25,2.066667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2008,1200,1.4,24.3,18.3,0.3,2.8,20.12,93.25,2.4,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2009,1200,0.0,24.3,16.5,1.6,1.7,19.28,86.25,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2010,1200,3.0,28.9,15.5,7.9,2.5,21.28,72.5,1.0,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2011,1200,0.0,29.3,15.3,9.6,3.6,21.52,71.5,0.666667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2012,1200,0.0,25.7,14.5,9.5,3.1,18.56,65.5,1.333333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2013,1200,0.0,28.9,13.1,9.5,3.8,21.32,63.75,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2014,1200,0.0,27.9,11.9,10.1,4.9,18.88,60.75,1.7,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2015,1200,1.0,26.3,16.1,5.7,2.4,19.92,83.0,1.166667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2016,1200,0.0,27.5,12.3,9.9,2.2,18.76,61.5,1.533333,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2017,1200,0.0,26.1,15.9,0.0,0.0,20.0,76.0,2.266667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/05/2018,1200,0.0,27.3,14.1,9.2,3.5,20.36,60.0,1.366667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/06/2008,1200,0.0,27.1,14.9,8.9,4.0,19.44,79.75,2.1,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/06/2009,1200,10.8,25.7,16.5,8.6,1.5,19.2,81.25,1.8666669999999999,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/06/2010,1200,0.0,26.3,9.7,6.2,1.7,17.56,73.75,1.2,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/06/2011,1200,0.0,27.3,14.9,6.6,4.3,20.12,58.25,0.666667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
83531,01/06/2012,1200,0.0,29.1,14.5,8.4,3.7,20.16,73.75,1.366667,0.0,PATOS DE MINAS,Minas_Gerais,MG,Sudeste,-18.51,-46.43,940.28
