Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83582,01/01/2008,1200,0.0,33.5,16.8,10.9,7.4,24.58,71.5,0.0,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2009,1200,0.7,30.5,18.6,2.3,1.7,23.58,82.5,1.0,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2010,1200,1.0,27.0,16.0,0.3,1.7,22.44,89.5,0.666667,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2011,1200,21.7,24.4,19.8,0.2,2.3,21.36,89.5,1.4,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2012,1200,6.9,26.8,20.0,0.0,1.9,22.8,88.25,1.366667,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2013,1200,0.0,33.6,17.8,10.3,5.3,24.48,71.75,1.2,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2014,1200,4.2,33.3,23.2,10.2,2.4,26.54,78.5,1.2,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2015,1200,0.0,35.7,18.8,9.8,2.3,26.42,66.75,0.833333,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2016,1200,0.0,33.1,18.8,5.5,3.7,24.58,80.5,0.666667,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2017,1200,0.0,35.7,17.8,11.5,6.2,25.58,68.25,0.833333,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/01/2018,1200,4.9,31.3,19.8,6.5,2.8,23.62,0.0,2.6,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
83582,01/02/2008,1200,9.0,31.5,18.4,8.6,2.1,24.34,83.75,0.833333,0.0,BAMBUI,Minas_Gerais,MG,Sudeste,-20.03,-45.0,661.27
