Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83587,01/01/2009,1200,48.0,29.4,19.1,7.1,3.2,23.56,72.25,1.133333,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2010,1200,63.5,28.3,18.4,4.2,0.9,22.38,79.25,2.566667,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2011,1200,52.2,20.9,17.4,0.0,0.8,19.28,90.5,1.366667,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2012,1200,58.4,24.3,18.8,0.1,1.3,20.86,92.25,1.3,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2013,1200,0.0,31.7,20.3,11.1,3.3,25.98,44.5,1.1,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2014,1200,0.2,31.4,21.3,6.6,3.2,26.64,64.25,0.5,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2015,1200,0.0,32.9,21.6,6.5,7.4,26.44,61.0,1.35,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2016,1200,1.2,32.9,20.4,7.7,4.6,26.62,56.75,0.533333,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2017,1200,0.0,33.2,21.8,9.6,7.6,27.1,43.0,0.7,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2018,1200,1.4,30.0,20.8,5.8,3.6,24.46,62.5,1.166667,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/01/2019,1200,59.1,27.8,18.4,4.7,1.2,22.1,86.25,0.533333,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/02/2008,1200,4.0,31.8,20.1,7.5,1.6,23.92,71.5,0.933333,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/02/2009,1200,0.0,31.0,21.9,6.5,4.2,25.56,64.5,1.1,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/02/2010,1200,0.0,29.8,21.1,11.4,6.9,25.06,55.75,2.2,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
83587,01/02/2011,1200,0.0,31.3,22.3,6.3,8.2,25.94,56.25,1.4,0.0,BELO HORIZONTE,Minas_Gerais,MG,Sudeste,-19.93,-43.93,915.0
