Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83589,01/01/2008,1200,0.0,32.4,15.1,10.2,6.5,24.14,53.0,2.8,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2009,1200,1.6,32.0,18.9,4.9,4.1,24.18,84.25,2.3,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2010,1200,31.4,29.4,19.5,5.3,1.0,24.02,81.25,2.2,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2011,1200,11.3,23.0,19.1,0.0,3.1,21.0,90.75,1.533333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2012,1200,53.2,27.8,20.9,2.6,1.8,23.36,85.25,2.4666669999999997,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2013,1200,0.0,31.7,17.4,8.3,6.1,23.28,68.75,1.566667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2014,1200,0.0,35.1,21.2,10.0,2.5,26.44,72.75,1.133333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2015,1200,16.4,34.4,20.1,9.2,2.7,26.3,72.0,1.033333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2016,1200,0.0,35.8,18.9,0.0,0.0,26.68,72.0,2.833333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2017,1200,0.0,32.7,15.6,0.0,7.0,24.02,65.25,2.2,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2018,1200,0.0,31.4,20.2,0.0,4.3,25.26,80.0,1.4,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/01/2019,1200,1.1,31.6,20.2,0.0,1.6,24.32,0.0,1.15,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2008,1200,0.0,32.2,20.8,5.5,2.2,24.98,75.5,1.466667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2009,1200,0.0,31.6,20.4,4.2,4.0,24.34,74.5,1.166667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2010,1200,0.0,31.0,17.4,10.5,4.5,23.96,68.75,2.733333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2011,1200,0.0,32.1,17.3,8.3,6.4,24.66,63.0,1.9333330000000002,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2012,1200,22.0,28.2,19.6,5.1,1.0,22.16,81.5,1.8666669999999999,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2013,1200,0.4,30.6,19.7,4.4,1.2,23.26,83.75,0.966667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2014,1200,0.0,30.7,16.7,8.1,7.4,23.2,67.25,2.3,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2015,1200,0.0,33.2,17.7,10.6,7.3,25.38,56.5,2.233333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2016,1200,0.0,32.7,17.3,0.0,0.0,24.94,72.25,0.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2017,1200,0.0,28.3,18.2,0.0,6.6,23.28,69.25,1.633333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2018,1200,87.1,32.1,19.6,0.0,0.7,24.26,80.5,3.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/02/2019,1200,0.0,34.6,15.1,0.0,6.3,25.96,0.0,0.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2008,1200,18.0,25.2,20.0,0.0,3.5,21.76,94.25,1.333333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2010,1200,1.9,25.8,21.9,0.0,3.1,23.24,92.25,0.766667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2011,1200,24.1,31.2,19.9,2.6,3.2,23.64,90.0,2.9666669999999997,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2012,1200,0.0,31.6,14.0,11.0,5.5,21.9,66.25,1.666667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2013,1200,22.8,25.4,20.6,0.0,2.5,22.78,84.0,1.7,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2014,1200,8.2,28.6,18.5,2.4,4.6,21.96,83.5,1.633333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2015,1200,5.8,27.2,20.8,5.4,2.9,23.36,80.5,1.1,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2016,1200,0.0,31.2,21.7,0.0,4.6,25.36,71.75,0.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2017,1200,8.4,29.9,18.8,0.0,1.4,22.98,81.5,1.033333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2018,1200,32.1,31.3,19.0,0.0,3.7,23.46,0.0,0.5,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/03/2019,1200,0.0,31.7,19.8,0.0,2.8,23.62,0.0,0.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2008,1200,0.0,28.8,14.7,8.9,3.3,20.64,0.0,1.333333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2009,1200,0.0,29.5,21.0,2.5,2.7,23.4,94.0,0.7,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2010,1200,9.4,26.8,19.3,0.9,1.7,21.88,90.0,4.066667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2011,1200,0.0,31.4,19.2,5.2,4.6,23.08,85.75,1.7666669999999998,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2012,1200,0.0,29.1,18.9,6.2,2.1,23.44,72.0,1.9,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2013,1200,0.0,29.3,20.0,4.9,1.7,23.14,83.0,0.533333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2014,1200,7.8,29.4,19.9,1.8,1.0,22.24,87.75,1.8,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2015,1200,0.0,33.6,19.6,0.0,3.3,24.82,73.0,1.6,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2016,1200,0.0,32.5,17.2,0.0,3.7,23.56,78.25,0.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2017,1200,0.0,28.4,16.0,0.0,4.0,20.52,73.0,1.8,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/04/2018,1200,0.0,29.9,15.6,0.0,3.4,21.5,80.0,1.533333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2008,1200,0.0,22.8,19.4,0.0,5.4,20.5,85.75,3.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2009,1200,0.0,26.5,15.8,1.9,2.5,19.9,86.0,1.166667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2010,1200,7.6,28.6,17.5,6.2,2.0,20.92,84.75,1.9,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2011,1200,0.0,27.0,15.8,4.3,2.8,20.44,83.0,1.466667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2012,1200,1.0,29.7,18.8,7.4,2.7,22.62,79.75,1.3,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2013,1200,0.0,28.2,13.9,7.8,3.1,19.34,80.25,1.4,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2014,1200,0.0,26.1,9.2,8.4,5.3,16.76,72.25,0.966667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2015,1200,0.0,27.2,17.5,0.0,2.7,21.4,76.25,0.766667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2016,1200,0.0,29.8,15.7,0.0,1.9,22.14,75.5,0.0,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2017,1200,0.0,23.5,17.0,0.0,2.6,19.04,83.25,1.633333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/05/2018,1200,0.0,28.8,12.3,0.0,2.5,18.02,77.5,1.533333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/06/2008,1200,0.0,24.1,15.6,1.3,3.4,18.22,80.5,1.066667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/06/2009,1200,0.3,28.2,18.6,4.9,2.7,21.3,0.0,0.6,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/06/2010,1200,0.0,23.2,16.4,3.3,4.3,19.28,69.0,2.833333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/06/2011,1200,0.0,26.0,10.8,6.4,2.3,17.0,82.5,1.133333,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/06/2012,1200,1.7,28.9,13.7,6.9,2.8,19.56,79.0,0.8,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
83589,01/06/2013,1200,0.0,24.8,17.9,2.5,2.9,19.9,84.0,1.066667,0.0,C  DO MATO DENTRO,Minas_Gerais,MG,Sudeste,-19.02,-43.43,652.0
