Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83592,01/01/2008,1200,0.0,31.4,17.7,12.7,4.6,23.78,59.75,2.266667,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2009,1200,0.0,30.0,19.2,0.0,3.0,23.2,84.5,1.333333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2010,1200,19.3,29.6,19.2,8.7,0.7,24.2,75.5,1.166667,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2011,1200,4.9,27.3,19.9,1.1,1.3,22.4,84.25,2.3666669999999996,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2012,1200,27.2,25.4,20.8,0.3,1.6,22.56,91.0,2.8,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2013,1200,0.0,31.6,18.7,12.4,6.1,23.98,66.25,1.7666669999999998,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2014,1200,0.0,33.7,21.7,9.8,3.1,27.36,72.0,1.3,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2015,1200,0.0,33.6,19.5,12.8,5.5,26.18,66.25,2.5,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2016,1200,0.0,35.7,18.0,12.5,7.1,26.42,69.0,1.666667,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2017,1200,0.0,32.0,16.3,11.4,2.5,23.66,70.25,1.333333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2018,1200,1.1,31.2,19.7,3.8,2.5,24.14,80.5,0.333333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/01/2019,1200,38.5,30.3,18.4,9.4,0.7,23.7,80.0,0.666667,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2008,1200,0.2,31.3,21.3,0.0,1.7,25.56,73.5,2.1333330000000004,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2009,1200,0.0,32.6,20.8,9.3,3.2,24.86,79.5,1.633333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2010,1200,0.0,31.7,21.1,10.3,5.1,25.02,72.5,2.3,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2011,1200,0.0,31.0,18.7,8.7,4.3,23.78,71.5,1.2,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2012,1200,0.2,30.1,21.1,7.8,3.0,24.62,66.5,2.9,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2013,1200,0.0,29.9,20.8,3.2,1.3,24.42,86.5,0.9,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2014,1200,0.0,31.6,20.8,10.0,5.6,24.56,69.5,1.333333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2015,1200,0.0,32.8,20.8,10.7,9.4,25.68,62.25,2.933333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2016,1200,0.0,32.3,19.6,11.9,4.0,24.94,76.75,1.333333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2017,1200,0.0,29.8,20.3,4.9,5.8,24.1,75.0,2.0,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
83592,01/02/2018,1200,41.5,27.6,19.4,1.4,0.8,23.24,84.25,1.333333,0.0,CARATINGA,Minas_Gerais,MG,Sudeste,-19.73,-42.13,609.65
