Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83632,01/01/2008,1200,0.0,33.7,18.0,0.0,4.8,25.78,62.75,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2009,1200,23.0,31.3,18.7,0.0,2.2,22.8,79.75,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2010,1200,11.0,31.2,19.2,0.0,0.3,23.32,77.5,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2011,1200,73.4,28.7,15.9,0.0,1.0,20.72,77.75,1.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2012,1200,75.7,30.1,14.1,0.0,1.3,21.32,90.25,2.333333,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2013,1200,0.0,33.3,16.1,0.0,6.7,24.64,62.0,1.333333,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2014,1200,0.0,0.0,20.3,0.0,0.0,0.0,70.75,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2017,1200,1.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2018,1200,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/01/2019,1200,6.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2008,1200,0.0,32.5,20.9,0.0,0.9,24.0,75.5,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2009,1200,16.0,29.1,20.0,0.0,0.5,23.9,80.5,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2010,1200,0.0,32.1,17.4,0.0,3.4,24.34,67.0,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2011,1200,0.0,34.3,20.3,0.0,5.3,24.96,75.75,0.666667,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2012,1200,0.0,32.5,17.7,0.0,2.5,23.16,81.75,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2013,1200,37.1,0.0,17.9,0.0,1.0,0.0,86.0,2.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2014,1200,0.0,0.0,17.7,0.0,0.0,0.0,61.5,1.333333,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
83632,01/02/2015,1200,3.8,35.0,21.1,0.0,4.5,0.0,0.0,0.0,0.0,IBIRITE,Minas_Gerais,MG,Sudeste,-20.01,-44.05,814.54
