Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83669,01/01/2008,1200,0.0,36.1,21.5,6.4,6.7,28.42,55.25,0.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2009,1200,26.6,29.4,19.4,0.7,2.9,23.96,81.25,0.666667,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2010,1200,0.0,30.3,20.2,4.9,3.9,25.62,72.0,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2011,1200,0.0,32.3,19.7,2.3,5.5,24.18,79.25,1.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2012,1200,19.9,25.3,16.5,0.0,1.3,20.32,94.5,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2013,1200,1.0,33.7,0.0,5.6,0.0,0.0,66.25,0.34296,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2014,1200,3.0,33.7,0.0,5.6,1.8,0.0,77.0,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2015,1200,0.0,35.3,20.5,9.4,3.0,27.26,62.5,0.666667,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2016,1200,29.2,30.5,19.4,1.9,3.1,24.96,83.75,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2017,1200,4.2,34.5,0.0,10.1,4.0,0.0,62.75,1.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2018,1200,5.4,30.9,17.4,5.1,1.5,23.64,76.0,1.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/01/2019,1200,0.0,32.1,17.1,5.0,4.6,24.44,85.75,0.666667,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2008,1200,2.2,33.3,18.2,10.5,2.2,25.16,69.75,0.666667,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2009,1200,0.2,34.0,18.8,10.9,3.0,25.32,67.0,0.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2010,1200,2.0,34.5,18.2,9.6,4.4,25.68,62.25,1.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2011,1200,1.7,28.7,18.7,0.8,3.5,23.74,78.25,0.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2012,1200,0.0,32.9,16.9,8.2,5.6,23.78,76.0,1.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2013,1200,26.6,31.3,0.0,4.7,0.0,0.0,78.25,0.0,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2014,1200,0.0,35.7,0.0,11.0,8.4,0.0,43.25,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2015,1200,0.0,35.3,21.3,10.4,6.8,28.04,55.25,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2016,1200,0.0,35.4,19.2,10.0,6.8,25.94,63.25,0.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2017,1200,3.4,31.6,0.0,2.8,2.1,0.0,77.0,1.333333,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
83669,01/02/2018,1200,0.0,32.3,15.8,10.0,5.5,24.64,62.0,0.666667,0.0,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39
