Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83676,01/01/2008,1200,0.4,33.2,20.2,6.0,6.5,24.88,72.75,2.333333,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2009,1200,5.4,29.0,20.8,0.4,4.4,24.64,76.5,1.666667,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2010,1200,27.4,31.6,21.0,0.0,5.5,24.6,80.0,2.666667,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2011,1200,0.0,31.7,20.5,0.0,6.2,25.46,69.0,1.333333,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2013,1200,0.0,31.4,22.2,3.4,3.5,25.28,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2014,1200,0.0,30.5,19.0,2.1,0.0,25.14,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2015,1200,0.0,32.5,27.0,5.3,0.0,28.46,0.0,2.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2016,1200,19.1,29.8,23.2,1.4,3.0,25.84,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2018,1200,0.4,30.5,20.4,4.4,0.0,24.22,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/01/2019,1200,11.6,29.3,22.3,8.2,5.0,25.28,0.0,2.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2008,1200,0.0,31.5,22.5,9.4,6.0,26.88,64.5,1.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2009,1200,0.1,32.8,21.0,7.6,4.0,27.08,65.0,2.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2010,1200,0.0,32.6,21.8,0.0,3.7,27.44,51.5,1.666667,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2011,1200,0.2,28.2,20.5,0.0,3.6,24.48,69.75,1.333333,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2012,1200,0.0,31.7,18.8,10.9,9.5,25.54,0.0,2.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2013,1200,3.4,29.8,21.5,3.1,3.2,25.86,0.0,1.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2014,1200,0.0,34.0,22.7,10.4,12.3,28.76,0.0,2.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2016,1200,0.0,33.0,23.5,8.3,0.0,28.5,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2017,1200,6.8,29.5,19.7,5.7,2.5,23.38,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2018,1200,0.0,31.4,17.7,10.1,5.0,24.74,0.0,1.5,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/02/2019,1200,1.2,36.8,23.4,10.6,9.2,29.38,0.0,2.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
83676,01/03/2008,1200,35.1,29.0,20.3,7.7,2.7,24.54,80.0,1.0,0.0,CATANDUVA,Sao_Paulo,SP,Sudeste,-21.11,-48.93,570.0
