Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83687,01/01/2008,1200,0.0,33.0,19.2,10.9,6.5,26.0,50.5,2.233333,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2009,1200,12.3,27.6,17.6,3.7,1.3,22.4,80.0,1.633333,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2010,1200,2.5,27.4,19.8,1.4,3.0,22.64,80.0,2.6333330000000004,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2011,1200,27.2,21.8,18.5,0.4,1.5,19.7,92.75,3.333333,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2012,1200,69.0,24.2,0.0,0.2,0.6,0.0,0.0,2.566667,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2013,1200,0.0,31.4,18.1,9.8,4.1,24.62,64.0,1.3,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2014,1200,1.0,32.0,19.1,11.1,2.6,25.26,66.75,2.233333,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2015,1200,0.0,32.1,19.1,12.1,3.7,26.12,59.75,2.0,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2016,1200,0.0,31.4,19.0,9.7,4.6,24.72,71.75,1.333333,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2017,1200,0.0,33.0,20.2,11.3,6.8,26.28,60.75,1.333333,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
83687,01/01/2018,1200,2.8,29.4,19.3,6.6,2.1,22.66,77.25,1.666667,0.0,LAVRAS,Minas_Gerais,MG,Sudeste,-21.75,-45.0,918.84
