Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83689,01/01/2008,1200,0.0,29.7,13.5,11.2,9.8,22.36,59.25,1.166667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2009,1200,83.6,26.8,16.7,0.0,0.6,20.94,83.5,1.166667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2010,1200,11.4,27.5,17.3,2.5,1.0,21.48,84.5,1.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2011,1200,8.6,19.4,17.9,0.0,0.6,18.5,97.75,1.166667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2013,1200,0.0,0.0,15.1,10.6,3.3,0.0,49.25,1.2,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2014,1200,4.4,0.0,18.3,7.5,2.5,0.0,79.0,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2015,1200,3.8,0.0,17.5,7.2,3.7,0.0,78.5,0.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2016,1200,0.0,0.0,18.3,7.6,3.0,0.0,76.25,1.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2017,1200,0.0,0.0,17.9,7.7,4.3,0.0,64.0,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/01/2018,1200,5.2,0.0,17.8,6.6,2.1,0.0,84.0,2.566667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2008,1200,17.8,30.5,15.1,9.1,2.0,21.24,84.5,2.266667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2009,1200,0.0,30.6,16.6,9.9,2.1,22.6,72.0,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2010,1200,0.0,29.8,16.2,9.9,3.2,22.44,63.5,2.233333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2011,1200,0.0,28.6,17.7,3.9,3.4,22.3,82.0,3.066667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2012,1200,4.3,26.1,15.6,9.2,0.9,20.06,79.5,3.4,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2013,1200,20.7,0.0,16.9,2.6,0.5,0.0,93.0,0.866667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2014,1200,0.0,0.0,15.7,10.4,3.2,0.0,73.75,1.033333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2015,1200,3.0,0.0,16.7,7.6,2.4,0.0,77.0,1.7333330000000002,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2016,1200,0.8,0.0,15.9,10.5,3.8,0.0,65.0,1.033333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2017,1200,0.0,0.0,15.9,1.0,1.0,0.0,85.25,1.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/02/2018,1200,0.0,0.0,13.4,6.8,1.0,0.0,90.0,0.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2008,1200,2.9,23.5,15.6,0.0,1.4,19.3,93.0,2.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2009,1200,0.0,30.5,16.7,10.7,1.8,23.0,65.75,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2010,1200,28.8,20.9,16.6,0.0,0.4,18.14,97.25,1.9,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2011,1200,2.9,26.0,17.4,1.1,1.0,20.48,84.75,1.566667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2012,1200,0.0,31.0,13.9,9.5,4.6,22.62,67.75,1.566667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2013,1200,0.0,0.0,17.5,0.0,2.3,0.0,97.75,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2014,1200,20.2,0.0,16.3,4.3,1.0,0.0,90.75,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2015,1200,0.6,0.0,16.7,5.1,2.0,0.0,86.75,2.266667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2016,1200,5.4,0.0,16.2,1.2,1.0,0.0,93.5,2.233333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2017,1200,0.0,0.0,18.0,2.6,1.0,0.0,81.5,2.766667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/03/2018,1200,1.0,0.0,18.2,4.0,2.2,0.0,0.0,0.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2008,1200,0.0,24.4,10.5,6.2,1.0,17.1,79.75,1.533333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2009,1200,25.0,25.5,17.4,0.0,0.3,19.82,86.75,1.533333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2010,1200,0.0,25.6,18.0,0.0,1.0,20.44,86.0,1.9,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2011,1200,0.0,29.2,15.4,7.1,1.0,20.64,82.75,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2012,1200,0.0,27.4,14.9,7.4,2.3,19.66,84.75,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2013,1200,0.3,0.0,16.5,5.2,1.0,0.0,86.5,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2014,1200,1.8,0.0,16.8,4.6,0.9,0.0,90.0,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2015,1200,0.0,0.0,17.5,5.8,1.4,0.0,87.25,1.9,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2016,1200,0.0,0.0,17.4,8.0,1.8,0.0,82.75,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/04/2017,1200,0.0,0.0,10.8,7.5,3.0,0.0,76.75,2.433333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2008,1200,0.0,17.2,10.7,0.0,1.5,14.5,90.75,1.9,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2009,1200,0.0,23.0,11.2,1.2,2.0,16.44,81.25,2.066667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2010,1200,0.0,26.0,14.5,7.3,0.6,18.32,81.0,1.4,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2011,1200,0.0,28.0,13.9,8.7,1.2,20.1,78.0,1.033333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2012,1200,23.2,17.6,11.3,0.0,1.3,13.98,96.75,1.8666669999999999,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2013,1200,0.0,0.0,11.5,8.2,3.0,0.0,84.5,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2014,1200,0.0,0.0,10.0,2.6,1.4,0.0,74.5,1.566667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2015,1200,13.4,0.0,13.4,0.9,1.0,0.0,92.25,0.166667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2016,1200,0.0,0.0,12.4,8.8,1.5,0.0,80.5,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2017,1200,0.0,0.0,13.7,1.8,1.4,0.0,87.25,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/05/2018,1200,0.0,0.0,10.8,8.6,4.1,0.0,0.0,0.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2008,1200,0.0,15.0,8.4,0.0,0.4,12.36,97.25,2.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2009,1200,1.7,22.7,14.8,1.3,1.0,17.1,90.0,3.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2010,1200,0.0,19.0,11.3,6.4,2.7,14.06,84.75,1.9,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2011,1200,0.0,23.9,9.8,1.3,1.0,15.3,86.5,0.266667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2012,1200,0.0,25.4,15.3,3.0,1.5,18.46,89.25,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2013,1200,0.0,0.0,14.3,0.0,1.2,0.0,91.75,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2014,1200,0.0,0.0,10.3,3.6,1.2,0.0,80.25,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2015,1200,3.0,0.0,14.3,0.4,1.9,0.0,92.75,0.866667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2016,1200,0.0,0.0,13.1,4.8,1.2,0.0,85.0,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/06/2017,1200,0.0,0.0,12.3,8.2,1.0,0.0,76.75,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2008,1200,0.0,25.8,6.0,5.5,2.7,16.08,71.0,0.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2009,1200,0.0,26.5,11.1,8.0,1.0,18.64,70.0,0.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2010,1200,0.0,21.7,6.5,9.4,1.8,13.2,76.75,0.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2011,1200,0.0,24.9,9.8,6.5,0.6,15.5,83.75,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2012,1200,0.0,25.5,10.1,8.6,2.2,18.12,70.5,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2013,1200,0.0,0.0,15.4,6.5,3.6,0.0,85.25,1.4,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2014,1200,0.0,0.0,11.5,8.8,2.0,0.0,67.25,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2015,1200,0.0,0.0,12.1,2.3,1.3,0.0,87.5,0.166667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2016,1200,0.0,0.0,13.6,2.7,1.5,0.0,90.5,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/07/2017,1200,0.0,0.0,7.2,5.1,3.2,0.0,79.5,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2008,1200,0.0,25.5,8.2,5.6,3.9,17.34,59.5,2.066667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2009,1200,0.0,25.7,13.1,1.3,1.5,18.2,73.0,2.0333330000000003,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2010,1200,0.0,26.8,9.8,9.8,3.1,18.16,57.0,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2011,1200,0.0,27.8,12.5,3.0,3.5,19.14,61.75,3.233333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2012,1200,0.6,20.8,12.4,2.1,2.2,15.2,89.5,1.7333330000000002,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2013,1200,0.0,0.0,7.0,9.6,3.7,0.0,61.0,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2014,1200,0.0,0.0,10.0,9.4,1.0,0.0,79.5,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2015,1200,0.0,0.0,9.8,4.8,1.3,0.0,74.25,1.4,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2016,1200,0.0,0.0,11.3,7.6,1.6,0.0,72.75,1.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/08/2017,1200,0.0,0.0,7.7,6.5,3.2,0.0,63.5,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2008,1200,0.0,23.0,7.2,8.6,1.4,14.24,68.0,2.233333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2009,1200,0.0,27.1,13.5,4.3,2.8,19.72,71.25,2.066667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2010,1200,0.0,24.3,11.3,9.3,3.6,16.96,57.25,4.633333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2011,1200,8.1,17.6,10.6,0.0,2.0,13.04,89.25,1.2,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2012,1200,0.0,29.4,6.0,9.9,1.8,17.6,60.5,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2013,1200,0.0,0.0,9.6,8.5,3.8,0.0,55.25,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2014,1200,1.6,0.0,13.1,0.7,0.8,0.0,86.5,2.566667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2015,1200,0.0,0.0,10.4,9.2,2.8,0.0,54.0,2.066667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2016,1200,21.2,0.0,14.5,4.1,2.7,0.0,81.75,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/09/2017,1200,0.0,0.0,12.4,0.7,4.8,0.0,94.0,1.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2008,1200,0.0,30.9,12.2,0.0,3.0,21.3,64.5,2.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2009,1200,0.0,19.8,11.4,0.2,1.0,14.84,89.0,1.9,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2010,1200,0.0,29.8,15.2,0.0,1.0,22.24,76.0,1.366667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2011,1200,0.0,33.1,14.1,9.3,6.6,23.4,46.75,2.766667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2012,1200,0.0,26.0,6.7,10.5,1.2,17.02,60.25,2.433333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2013,1200,0.6,0.0,14.6,3.9,1.5,0.0,84.25,3.266667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2014,1200,0.0,0.0,16.5,5.3,3.7,0.0,71.25,2.1,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2015,1200,2.2,0.0,15.9,6.9,0.6,0.0,74.5,1.533333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2016,1200,0.0,0.0,13.6,0.0,2.0,0.0,97.5,1.8666669999999999,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/10/2017,1200,6.8,0.0,14.9,8.6,0.6,0.0,63.75,1.566667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2008,1200,13.8,20.6,13.9,0.0,2.2,16.18,96.0,2.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2009,1200,1.8,26.4,15.9,2.8,1.3,19.82,84.0,1.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2010,1200,6.0,21.5,16.6,0.4,3.5,18.38,97.75,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2011,1200,5.2,17.8,9.6,1.9,1.0,12.36,86.0,3.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2012,1200,8.8,30.7,17.5,5.9,3.4,21.48,82.75,1.8666669999999999,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2013,1200,1.4,0.0,13.3,0.0,0.3,0.0,96.25,2.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2014,1200,0.0,0.0,17.3,6.8,1.2,0.0,74.25,1.033333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2015,1200,0.0,0.0,18.4,3.1,4.7,0.0,83.25,1.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2016,1200,0.0,0.0,15.2,5.4,1.8,0.0,70.25,2.6,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/11/2017,1200,0.0,0.0,14.2,0.0,3.0,0.0,82.25,1.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2008,1200,3.2,28.9,15.2,7.7,1.2,20.94,76.25,0.833333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2009,1200,2.2,30.1,18.0,5.5,2.3,22.02,86.25,1.2,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2010,1200,1.0,26.2,18.5,1.2,0.8,20.94,90.25,0.666667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2011,1200,6.6,27.2,16.9,7.3,1.9,20.1,89.0,3.266667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2012,1200,0.4,0.0,16.3,1.1,2.0,0.0,91.25,0.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2013,1200,33.6,0.0,18.0,2.1,0.7,0.0,90.75,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2014,1200,6.4,0.0,15.6,3.0,0.5,0.0,85.5,1.7,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2015,1200,19.8,0.0,17.0,2.3,1.5,0.0,90.5,1.2,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2016,1200,0.0,0.0,13.2,0.0,0.5,0.0,93.0,0.866667,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,01/12/2017,1200,19.0,0.0,15.1,0.0,0.5,0.0,96.5,0.0,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,02/01/2008,1200,0.0,27.4,15.0,7.8,4.8,21.08,67.0,1.333333,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,02/01/2009,1200,0.0,28.5,17.5,0.0,1.6,21.52,85.5,0.5,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
83689,02/01/2010,1200,0.3,28.5,17.6,10.6,2.0,21.82,64.75,2.4,0.0,BARBACENA,Minas_Gerais,MG,Sudeste,-21.25,-43.76,1126.0
