Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83718,01/01/2008,1200,0.0,32.7,19.1,11.5,2.7,25.4,68.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2009,1200,15.7,29.0,19.7,3.3,1.0,24.34,83.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2010,1200,6.1,30.7,21.1,9.2,1.2,25.08,80.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2011,1200,19.8,23.9,19.9,0.0,0.2,21.6,93.25,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2012,1200,58.9,23.7,21.3,0.0,0.6,22.16,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2013,1200,0.0,32.2,18.5,10.4,2.3,26.26,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2014,1200,0.0,33.7,21.7,9.3,1.1,27.08,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2015,1200,0.3,35.2,19.9,10.3,1.2,27.42,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2016,1200,0.0,34.7,21.1,7.3,2.5,26.76,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/01/2017,1200,0.0,33.0,20.7,10.9,2.7,26.42,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2008,1200,0.0,31.7,21.5,8.1,1.2,25.92,75.5,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2009,1200,6.7,32.7,19.3,9.2,2.0,25.4,75.75,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2010,1200,0.0,31.7,19.5,11.7,1.6,25.76,70.5,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2011,1200,0.0,32.6,20.9,6.1,2.4,25.94,72.75,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2012,1200,29.3,29.2,17.5,7.6,0.4,23.26,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2013,1200,3.8,30.7,21.3,4.4,1.1,24.44,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2014,1200,0.0,33.2,18.9,11.7,3.1,25.46,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2015,1200,3.6,32.8,20.3,10.4,2.1,24.3,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2016,1200,0.0,33.6,18.7,11.8,2.7,25.74,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2018,1200,7.6,29.2,18.4,8.1,0.5,23.72,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
83718,01/02/2019,1200,0.0,35.2,19.7,11.6,3.3,26.82,0.0,0.0,0.0,CORDEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.02,-42.36,505.92
