Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83736,01/01/2010,1200,18.6,21.6,18.2,0.0,2.1,19.48,95.75,0.766667,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2011,1200,14.2,22.6,18.2,0.0,1.8,20.2,87.75,2.5,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2012,1200,17.5,23.0,19.0,0.0,1.1,20.16,94.0,0.666667,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2013,1200,0.0,31.0,18.6,8.8,3.6,24.12,73.5,1.533333,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2014,1200,0.9,31.4,19.0,9.5,3.5,24.36,72.0,2.433333,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2015,1200,0.1,33.0,18.8,10.8,3.9,25.52,64.75,1.366667,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2016,1200,0.7,31.4,18.4,7.7,3.7,23.12,83.5,1.2,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2017,1200,0.0,33.4,19.0,9.5,4.8,25.64,64.25,0.5,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2018,1200,0.5,28.8,19.2,6.2,1.6,22.92,81.5,0.833333,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/01/2019,1200,5.4,31.2,17.5,7.8,2.9,23.3,77.0,0.333333,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/02/2008,1200,0.1,30.8,16.8,11.1,2.5,23.04,83.0,0.5,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
83736,01/02/2009,1200,6.8,31.4,16.6,9.6,1.5,22.64,88.0,1.05,0.0,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.2
