Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Unnamed: 11,station_name,state,state_initials,region,latitude,longitude,altitude
83781,01/01/2008,1200,0.0,31.8,21.9,6.2,5.9,25.0,74.25,3.8,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2009,1200,3.9,30.6,20.0,6.6,3.5,23.4,74.25,3.4,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2010,1200,3.4,24.3,18.9,0.0,4.3,21.12,90.5,1.8,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2011,1200,0.0,26.2,19.2,0.0,3.6,21.5,81.25,2.4,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2012,1200,37.6,23.8,17.8,0.0,1.2,19.96,89.75,1.9333330000000002,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2013,1200,0.0,31.9,22.0,4.8,5.0,25.96,65.25,3.5333330000000003,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2014,1200,0.0,32.3,23.2,6.7,6.7,26.14,74.25,3.233333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2015,1200,0.0,32.5,23.9,10.8,3.4,27.3,58.75,3.1333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2016,1200,0.0,30.3,21.2,5.0,5.5,24.1,76.75,2.566667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2017,1200,0.0,31.7,18.1,8.5,6.1,25.2,66.0,3.4666669999999997,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2018,1200,26.0,29.2,19.3,10.1,2.8,24.36,72.75,2.6333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/01/2019,1200,0.0,31.8,18.7,0.0,4.2,24.48,79.25,2.3,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2008,1200,2.7,30.5,18.5,7.9,1.8,23.6,72.75,2.2,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2009,1200,0.0,31.9,21.5,10.7,1.5,25.08,71.0,2.7,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2010,1200,0.8,33.1,19.0,9.4,3.4,24.18,70.5,2.1333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2011,1200,1.8,27.7,21.1,1.8,4.9,24.52,66.0,3.066667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2012,1200,0.0,31.1,18.6,8.4,2.9,22.94,75.0,3.233333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2013,1200,0.0,28.7,21.1,4.2,3.5,23.72,86.5,1.166667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2014,1200,0.0,35.9,21.3,11.0,8.5,27.88,50.75,1.7333330000000002,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2015,1200,0.0,28.0,20.6,5.2,2.1,24.16,80.25,3.1333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2016,1200,0.0,33.5,22.5,11.1,7.0,27.68,54.75,2.3,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2017,1200,1.0,27.6,18.6,0.6,3.8,21.64,83.25,1.9333330000000002,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2018,1200,0.0,27.3,18.3,9.5,4.0,21.88,71.0,3.5333330000000003,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/02/2019,1200,0.0,35.5,21.7,0.0,10.2,27.66,54.75,1.8666669999999999,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2008,1200,3.3,28.3,19.1,6.2,0.6,23.48,79.5,2.1333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2009,1200,0.0,34.1,23.2,9.0,3.2,27.34,68.75,2.2,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2010,1200,32.3,20.6,16.2,0.0,1.2,18.06,89.0,5.3,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2011,1200,71.8,22.8,18.3,0.0,0.6,20.34,91.5,2.9666669999999997,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2012,1200,0.0,34.3,22.1,11.4,7.3,28.12,49.5,2.3,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2013,1200,0.0,28.5,19.0,5.0,3.9,22.18,70.5,3.333333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2014,1200,32.2,27.8,17.7,6.4,3.1,21.58,76.75,2.6333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2015,1200,3.0,26.3,18.2,6.3,3.2,21.26,72.25,3.6,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2016,1200,20.4,20.4,16.2,0.0,1.9,18.52,92.0,3.2,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2017,1200,0.0,30.9,20.7,10.3,6.1,26.12,63.0,2.766667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2018,1200,0.0,30.6,20.9,6.9,5.1,24.7,80.25,2.8,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/03/2019,1200,27.1,23.4,19.3,0.0,0.8,21.46,88.25,1.6,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2008,1200,0.0,28.5,15.2,8.0,3.4,20.88,71.5,2.0333330000000003,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2009,1200,0.0,27.3,18.4,7.9,3.6,21.98,75.0,3.5,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2010,1200,0.0,26.8,19.0,3.7,3.8,22.56,76.5,2.733333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2011,1200,0.0,28.8,18.8,7.7,3.1,22.34,74.75,3.2,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2012,1200,0.0,27.1,17.7,4.2,2.9,20.88,77.75,2.9666669999999997,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2013,1200,0.0,0.0,18.0,7.4,2.6,0.0,77.5,1.7,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2014,1200,0.1,29.3,19.9,6.1,2.9,23.72,79.75,2.733333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2015,1200,0.0,27.5,19.2,7.5,4.7,22.52,70.5,2.766667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2016,1200,0.6,29.4,20.8,8.2,3.5,24.08,72.75,2.8666669999999996,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2017,1200,0.0,23.9,16.0,7.1,3.7,18.98,75.0,3.766667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/04/2018,1200,8.0,28.5,19.3,4.6,2.1,24.02,73.25,2.066667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2008,1200,0.0,18.5,13.7,0.0,0.7,16.16,82.5,4.0,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2009,1200,0.0,24.9,15.2,8.1,3.8,19.08,79.0,3.45,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2010,1200,0.0,26.1,14.2,8.0,2.5,18.62,71.75,1.7333330000000002,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2011,1200,0.0,26.0,16.5,3.9,5.5,20.18,80.0,2.4666669999999997,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2012,1200,31.4,18.9,11.2,4.7,0.8,13.66,72.5,2.3,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2013,1200,0.0,0.0,17.9,3.9,3.3,0.0,79.0,1.6,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2014,1200,0.0,23.1,16.9,0.0,6.6,20.44,55.75,3.5333330000000003,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2015,1200,0.0,22.0,13.4,4.2,2.2,17.34,77.0,2.733333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2016,1200,0.0,20.8,10.7,10.0,4.5,14.6,61.5,2.1333330000000004,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2017,1200,0.0,23.8,15.0,7.7,2.0,18.52,74.0,3.2,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/05/2018,1200,0.0,28.0,18.1,6.6,6.5,21.98,72.5,1.7,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2008,1200,20.8,16.5,11.1,0.5,1.8,13.56,90.5,2.733333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2009,1200,7.2,22.3,10.3,7.8,0.0,13.36,74.0,4.15,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2010,1200,0.4,16.8,12.7,1.0,3.6,14.08,78.75,3.566667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2011,1200,0.0,22.7,10.7,7.4,1.8,14.96,76.0,1.8,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2012,1200,0.0,23.5,16.7,0.0,1.3,18.74,84.75,1.7333330000000002,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2013,1200,0.0,26.6,14.2,7.9,1.2,19.48,73.5,1.9333330000000002,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2014,1200,0.0,21.6,13.4,0.9,3.3,17.66,79.5,2.433333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2015,1200,2.2,18.0,15.2,0.0,0.7,16.28,93.5,0.5,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2016,1200,1.2,23.5,17.0,4.8,2.8,20.58,77.25,1.7666669999999998,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2017,1200,0.0,20.7,17.3,2.0,10.8,18.74,80.25,4.0,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/06/2018,1200,0.0,25.1,15.2,8.5,4.3,19.86,49.25,2.266667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2008,1200,0.0,25.5,13.4,7.3,2.8,18.64,59.5,2.2,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2009,1200,0.0,25.9,16.0,7.2,4.5,20.08,78.0,1.5,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2010,1200,0.0,23.7,10.9,8.7,2.6,16.76,71.25,1.9666669999999997,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2011,1200,0.0,26.8,13.1,4.4,2.0,18.2,80.75,2.8666669999999996,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2012,1200,0.0,26.2,13.7,8.9,4.8,19.56,65.5,2.3,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2013,1200,16.2,17.3,13.1,0.0,0.5,15.06,98.25,1.566667,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
83781,01/07/2014,1200,0.0,22.4,11.7,8.9,7.2,16.54,43.25,1.833333,0.0,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06
